id,title,original_language,release_date,genre_ids,popularity,vote_average,vote_count
278,The Shawshank Redemption,en,23-09-1994,"[18, 80]",32.1474,8.712,28545
238,The Godfather,en,14-03-1972,"[18, 80]",30.5478,8.687,21622
803796,KPop Demon Hunters,en,20-06-2025,"[16, 14, 28, 35, 10402, 10751]",209.9239,8.613,620
240,The Godfather Part II,en,20-12-1974,"[18, 80]",15.8952,8.571,13054
424,Schindler's List,en,15-12-1993,"[18, 36, 10752]",20.7912,8.566,16540
389,12 Angry Men,en,10-04-1957,[18],21.5047,8.549,9245
129,Spirited Away,ja,20-07-2001,"[16, 10751, 14]",16.4039,8.5,17279
155,The Dark Knight,en,16-07-2008,"[18, 28, 80, 53]",26.7415,8.522,34068
19404,Dilwale Dulhania Le Jayenge,hi,20-10-1995,"[35, 18, 10749]",6.4532,8.518,4496
497,The Green Mile,en,10-12-1999,"[14, 18, 80]",16.3238,8.504,18203
496243,Parasite,ko,30-05-2019,"[35, 53, 18]",21.9498,8.499,19239
680,Pulp Fiction,en,10-09-1994,"[53, 80, 35]",17.655,8.489,28848
122,The Lord of the Rings: The Return of the King,en,17-12-2003,"[12, 14, 28]",21.1858,8.488,25247
372058,Your Name.,ja,26-08-2016,"[16, 10749, 18]",15.5341,8.483,11854
13,Forrest Gump,en,23-06-1994,"[35, 18, 10749]",21.1386,8.468,28383
429,"The Good, the Bad and the Ugly",it,22-12-1966,[37],18.7454,8.465,9074
157336,Interstellar,en,05-11-2014,"[12, 18, 878]",36.6069,8.457,37432
769,GoodFellas,en,12-09-1990,"[18, 80]",12.4269,8.455,13478
346,Seven Samurai,ja,26-04-1954,"[28, 18]",6.1775,8.455,3936
12477,Grave of the Fireflies,ja,16-04-1988,"[16, 18, 10752]",0.0085,8.45,5954
278,The Shawshank Redemption,en,23-09-1994,"[18, 80]",32.1474,8.712,28545
238,The Godfather,en,14-03-1972,"[18, 80]",30.5478,8.687,21622
803796,KPop Demon Hunters,en,20-06-2025,"[16, 14, 28, 35, 10402, 10751]",209.9239,8.613,620
240,The Godfather Part II,en,20-12-1974,"[18, 80]",15.8952,8.571,13054
424,Schindler's List,en,15-12-1993,"[18, 36, 10752]",20.7912,8.566,16540
389,12 Angry Men,en,10-04-1957,[18],21.5047,8.549,9245
129,Spirited Away,ja,20-07-2001,"[16, 10751, 14]",16.4039,8.5,17279
155,The Dark Knight,en,16-07-2008,"[18, 28, 80, 53]",26.7415,8.522,34068
19404,Dilwale Dulhania Le Jayenge,hi,20-10-1995,"[35, 18, 10749]",6.4532,8.518,4496
497,The Green Mile,en,10-12-1999,"[14, 18, 80]",16.3238,8.504,18203
496243,Parasite,ko,30-05-2019,"[35, 53, 18]",21.9498,8.499,19239
